ts,device,type,value
1761004912.4387898,sht40_sensor_1,temperature,22.756927490234375
1761004912.4475558,sht40_sensor_1,humidity,41.2266731262207
1761004913.4359076,sht40_sensor_1,temperature,22.73822784423828
1761004913.4441907,sht40_sensor_1,humidity,41.25337600708008
1761004914.4363146,sht40_sensor_1,temperature,22.72754669189453
1761004914.4490683,sht40_sensor_1,humidity,41.213321685791016
1761004915.434751,sht40_sensor_1,temperature,22.732887268066406
1761004915.4459977,sht40_sensor_1,humidity,41.25337600708008
1761004916.4339504,sht40_sensor_1,temperature,22.74089813232422
1761004916.4438944,sht40_sensor_1,humidity,41.236209869384766
1761004917.4340317,sht40_sensor_1,temperature,22.722206115722656
1761004917.4427505,sht40_sensor_1,humidity,41.2266731262207
1761004918.4291027,sht40_sensor_1,temperature,22.71953582763672
1761004918.4377944,sht40_sensor_1,humidity,41.29533767700195
1761004919.428917,sht40_sensor_1,temperature,22.732887268066406
1761004919.439514,sht40_sensor_1,humidity,41.26100540161133
1761004920.4284852,sht40_sensor_1,temperature,22.714195251464844
1761004920.4478374,sht40_sensor_1,humidity,41.2419319152832
1761004921.431973,sht40_sensor_1,temperature,22.73021697998047
1761004921.4440513,sht40_sensor_1,humidity,41.2571907043457
1761004922.4295442,sht40_sensor_1,temperature,22.74089813232422
1761004922.4379606,sht40_sensor_1,humidity,41.24765396118164
1761005298.4324324,sht40_sensor_1,temperature,22.7515869140625
1761005298.44124,sht40_sensor_1,humidity,41.74738693237305
1761005299.438011,sht40_sensor_1,temperature,22.754257202148438
1761005299.446348,sht40_sensor_1,humidity,41.722591400146484
1761005300.4317605,sht40_sensor_1,temperature,22.724876403808594
1761005300.4409401,sht40_sensor_1,humidity,41.74929428100586
1761005301.43292,sht40_sensor_1,temperature,22.74089813232422
1761005301.44255,sht40_sensor_1,humidity,41.7244987487793
1761005302.4297764,sht40_sensor_1,temperature,22.746238708496094
1761005302.441252,sht40_sensor_1,humidity,41.7397575378418
1761005303.434074,sht40_sensor_1,temperature,22.74089813232422
1761005303.4423878,sht40_sensor_1,humidity,41.74166488647461
1761005304.4347196,sht40_sensor_1,temperature,22.73822784423828
1761005304.4416232,sht40_sensor_1,humidity,41.707332611083984
1761005305.430971,sht40_sensor_1,temperature,22.74089813232422
1761005305.4442008,sht40_sensor_1,humidity,41.73594284057617
1761005306.4318886,sht40_sensor_1,temperature,22.7515869140625
1761005306.4388447,sht40_sensor_1,humidity,41.74166488647461
1761005307.434334,sht40_sensor_1,temperature,22.724876403808594
1761005307.4411914,sht40_sensor_1,humidity,41.74357223510742
1761005308.431544,sht40_sensor_1,temperature,22.735557556152344
1761005308.4391184,sht40_sensor_1,humidity,41.72831344604492
1761005309.436989,sht40_sensor_1,temperature,22.756927490234375
1761005309.4628224,sht40_sensor_1,humidity,41.71686935424805
1761005310.43243,sht40_sensor_1,temperature,22.722206115722656
1761005310.4395752,sht40_sensor_1,humidity,41.69016647338867
1761005311.4354587,sht40_sensor_1,temperature,22.74890899658203
1761005311.4435823,sht40_sensor_1,humidity,41.73594284057617
1761005312.4314206,sht40_sensor_1,temperature,22.74089813232422
1761005312.4449835,sht40_sensor_1,humidity,41.72068405151367
1761005313.4320395,sht40_sensor_1,temperature,22.74890899658203
1761005313.4454052,sht40_sensor_1,humidity,41.745479583740234
1761005314.4354692,sht40_sensor_1,temperature,22.743568420410156
1761005314.4658284,sht40_sensor_1,humidity,41.7244987487793
1761005315.4345849,sht40_sensor_1,temperature,22.72754669189453
1761005315.4422386,sht40_sensor_1,humidity,41.65583419799805
1761005316.4389038,sht40_sensor_1,temperature,22.735557556152344
1761005316.4601815,sht40_sensor_1,humidity,41.676815032958984
1761005317.4348762,sht40_sensor_1,temperature,22.764938354492188
1761005317.4465613,sht40_sensor_1,humidity,41.67109298706055
1761005318.4332387,sht40_sensor_1,temperature,22.7515869140625
1761005318.446129,sht40_sensor_1,humidity,41.70542526245117
1761005319.4317036,sht40_sensor_1,temperature,22.73822784423828
1761005319.4395087,sht40_sensor_1,humidity,41.63485336303711
1761005320.4329183,sht40_sensor_1,temperature,22.74089813232422
1761005320.4449568,sht40_sensor_1,humidity,41.70351791381836
1761005321.4286456,sht40_sensor_1,temperature,22.74089813232422
1761005321.4355252,sht40_sensor_1,humidity,41.66727828979492
1761005322.4324436,sht40_sensor_1,temperature,22.735557556152344
1761005322.4434764,sht40_sensor_1,humidity,41.631038665771484
1761005323.4335241,sht40_sensor_1,temperature,22.7515869140625
1761005323.4464986,sht40_sensor_1,humidity,41.66727828979492
1761238655.662519,sht40_sensor_1,temperature,21.397727966308594
1761238655.67476,sht40_sensor_1,humidity,51.436866760253906
1761238656.6581068,sht40_sensor_1,temperature,21.397727966308594
1761238656.6652215,sht40_sensor_1,humidity,51.44640350341797
1761238657.6615627,sht40_sensor_1,temperature,21.373695373535156
1761238657.6705859,sht40_sensor_1,humidity,51.444496154785156
1761238658.6614528,sht40_sensor_1,temperature,21.41374969482422
1761238658.6705685,sht40_sensor_1,humidity,51.46929168701172
1761238659.664483,sht40_sensor_1,temperature,21.384376525878906
1761238659.678104,sht40_sensor_1,humidity,51.47882843017578
1761238660.659924,sht40_sensor_1,temperature,21.40306854248047
1761238660.6694212,sht40_sensor_1,humidity,51.482643127441406
1761238661.657981,sht40_sensor_1,temperature,21.40039825439453
1761238661.687641,sht40_sensor_1,humidity,51.47119903564453
1761238662.6596928,sht40_sensor_1,temperature,21.38971710205078
1761238662.6693456,sht40_sensor_1,humidity,51.480735778808594
1761238663.6588547,sht40_sensor_1,temperature,21.37903594970703
1761238663.6700265,sht40_sensor_1,humidity,51.513160705566406
1761238664.6599226,sht40_sensor_1,temperature,21.373695373535156
1761238664.6725895,sht40_sensor_1,humidity,51.520790100097656
1761238665.6619198,sht40_sensor_1,temperature,21.376365661621094
1761238665.6740484,sht40_sensor_1,humidity,51.57801055908203
1761238666.6612644,sht40_sensor_1,temperature,21.352333068847656
1761238666.67375,sht40_sensor_1,humidity,51.581825256347656
1761238667.6726794,sht40_sensor_1,temperature,21.34699249267578
1761238667.6922684,sht40_sensor_1,humidity,51.57801055908203
1761238668.6559405,sht40_sensor_1,temperature,21.363014221191406
1761238668.662979,sht40_sensor_1,humidity,51.56847381591797
1761238669.6610215,sht40_sensor_1,temperature,21.384376525878906
1761238669.8678064,sht40_sensor_1,humidity,51.60662078857422
1761238670.661879,sht40_sensor_1,temperature,21.352333068847656
1761238670.672114,sht40_sensor_1,humidity,51.572288513183594
1761238671.659915,sht40_sensor_1,temperature,21.365684509277344
1761238671.667323,sht40_sensor_1,humidity,51.589454650878906
1761238672.6602938,sht40_sensor_1,temperature,21.33898162841797
1761238672.6741989,sht40_sensor_1,humidity,51.57038116455078
1761238673.6600645,sht40_sensor_1,temperature,21.352333068847656
1761238673.6721528,sht40_sensor_1,humidity,51.59899139404297
1761238674.6609051,sht40_sensor_1,temperature,21.376365661621094
1761238674.676675,sht40_sensor_1,humidity,51.629512786865234
1761238675.6649935,sht40_sensor_1,temperature,21.37102508544922
1761238675.7045135,sht40_sensor_1,humidity,51.82978439331055
1761238818.2242625,sht40_sensor_1,temperature,21.221481323242188
1761238818.250592,sht40_sensor_1,humidity,51.930877685546875
1761238819.2220702,sht40_sensor_1,temperature,21.224151611328125
1761238819.2332,sht40_sensor_1,humidity,51.92706298828125
1761238820.2616763,sht40_sensor_1,temperature,21.21881103515625
1761238820.284515,sht40_sensor_1,humidity,51.930877685546875
1761238821.243225,sht40_sensor_1,temperature,21.213470458984375
1761238821.3727705,sht40_sensor_1,humidity,51.94041442871094
1761238822.2230687,sht40_sensor_1,temperature,21.224151611328125
1761238822.2341206,sht40_sensor_1,humidity,51.91943359375
1761238823.223579,sht40_sensor_1,temperature,21.2081298828125
1761238823.2466316,sht40_sensor_1,humidity,51.949951171875
1761238824.2241225,sht40_sensor_1,temperature,21.200119018554688
1761238824.23631,sht40_sensor_1,humidity,51.89654541015625
1761238825.2232113,sht40_sensor_1,temperature,21.189437866210938
1761238825.2339413,sht40_sensor_1,humidity,51.953765869140625
1761238826.2190356,sht40_sensor_1,temperature,21.192108154296875
1761238826.2434754,sht40_sensor_1,humidity,51.91943359375
1761238827.2350726,sht40_sensor_1,temperature,21.226821899414062
1761238827.2642763,sht40_sensor_1,humidity,52.00526428222656
1761238828.2262027,sht40_sensor_1,temperature,21.210800170898438
1761238828.2357986,sht40_sensor_1,humidity,52.07392883300781
1761238829.2448058,sht40_sensor_1,temperature,21.216140747070312
1761238829.254904,sht40_sensor_1,humidity,52.133060455322266
1761238830.2200744,sht40_sensor_1,temperature,21.2081298828125
1761238830.2809944,sht40_sensor_1,humidity,52.18074417114258
1761238831.2385821,sht40_sensor_1,temperature,21.226821899414062
1761238831.2531252,sht40_sensor_1,humidity,52.2150764465332
1761238832.2349017,sht40_sensor_1,temperature,21.17608642578125
1761238832.2501962,sht40_sensor_1,humidity,52.2608528137207
1761238833.2225347,sht40_sensor_1,temperature,21.189437866210938
1761238833.24527,sht40_sensor_1,humidity,52.232242584228516
1761238834.2278001,sht40_sensor_1,temperature,21.19744873046875
1761238834.2409275,sht40_sensor_1,humidity,52.201725006103516
1761238835.2221215,sht40_sensor_1,temperature,21.19744873046875
1761238835.2386572,sht40_sensor_1,humidity,52.23414993286133
1761238836.2278683,sht40_sensor_1,temperature,21.224151611328125
1761238836.2385757,sht40_sensor_1,humidity,52.270389556884766
1761238837.2207515,sht40_sensor_1,temperature,21.19744873046875
1761238837.2352977,sht40_sensor_1,humidity,52.27229690551758
1761238838.2741253,sht40_sensor_1,temperature,21.200119018554688
1761238838.2954693,sht40_sensor_1,humidity,52.28755569458008
1761238839.251931,sht40_sensor_1,temperature,21.181427001953125
1761238839.2925148,sht40_sensor_1,humidity,52.27992630004883
1761238840.2391343,sht40_sensor_1,temperature,21.2081298828125
1761238840.2560453,sht40_sensor_1,humidity,52.29709243774414
1761238841.2231834,sht40_sensor_1,temperature,21.1654052734375
